Date,Route,Ridership
11/2018,CityLink Gold,216625
11/2018,CityLink Green,188551
11/2018,CityLink Lime,155932
11/2018,CityLink Navy,195003
11/2018,CityLink Orange,240947
11/2018,CityLink Pink,180115
11/2018,CityLink Purple,155230
11/2018,CityLink Red,302000
11/2018,CityLink Silver,161541
11/2018,CityLink Yellow,181987
12/2018,21,47990
12/2018,22,174038
12/2018,26,112754
12/2018,28,75467
12/2018,29,95707
12/2018,30,118599
12/2018,31,83611
12/2018,33,20069
12/2018,34,20247
12/2018,36,54215
12/2018,37,58593
12/2018,38,2160
12/2018,51,34710
12/2018,52,7095
12/2018,53,93364
12/2018,54,159823
12/2018,56,110207
12/2018,57,8838
12/2018,59,30877
12/2018,62,60491
12/2018,63,32220
12/2018,65,25337
12/2018,67,26938
12/2018,69,36953
12/2018,70,44975
12/2018,71,37955
12/2018,73,35427
12/2018,75,35361
12/2018,76,64717
12/2018,77,44587
12/2018,78,105171
12/2018,79,38365
12/2018,80,172897
12/2018,81,40566
12/2018,82,34990
12/2018,83,83323
12/2018,85,115996
12/2018,87,36937
12/2018,89,44339
12/2018,91,15914
12/2018,92,5484
12/2018,93,28000
12/2018,94,41481
12/2018,95,10989
12/2018,103,7304
12/2018,104,325
12/2018,105,3269
12/2018,115,4752
12/2018,120,9236
12/2018,150,3137
12/2018,154,7663
12/2018,CityLink Blue,210003
12/2018,CityLink Brown,176864
12/2018,CityLink Gold,212782
12/2018,CityLink Green,165420
12/2018,CityLink Lime,142328
12/2018,CityLink Navy,182145
12/2018,CityLink Orange,237919
12/2018,CityLink Pink,152186
12/2018,CityLink Purple,156882
12/2018,CityLink Red,271614
12/2018,CityLink Silver,150756
12/2018,CityLink Yellow,170998
01/2019,21,45485
01/2019,22,208805
01/2019,26,118540
01/2019,28,87643
01/2019,29,100912
01/2019,30,132015
01/2019,31,85028
01/2019,33,20344
01/2019,34,20826
01/2019,36,55232
01/2019,37,56657
01/2019,38,2785
01/2019,51,38716
01/2019,52,5010
01/2019,53,105226
01/2019,54,183842
01/2019,56,112595
01/2019,57,9434
01/2019,59,28648
01/2019,62,56770
01/2019,63,32824
01/2019,65,27675
01/2019,67,24064
01/2019,69,37191
01/2019,70,45066
01/2019,71,41939
01/2019,73,33775
01/2019,75,33401
01/2019,76,63440
01/2019,77,43234
01/2019,78,105500
01/2019,79,35633
01/2019,80,183473
01/2019,81,40013
01/2019,82,36768
01/2019,83,77691
01/2019,85,117400
01/2019,87,38245
01/2019,89,43196
01/2019,91,18803
01/2019,92,7478
01/2019,93,30203
01/2019,94,40756
01/2019,95,14588
01/2019,103,8087
01/2019,104,472
01/2019,105,4066
01/2019,115,5474
01/2019,120,10700
01/2019,150,4203
01/2019,154,9016
01/2019,CityLink Blue,229274
01/2019,CityLink Brown,194565
01/2019,CityLink Gold,219752
01/2019,CityLink Green,168586
01/2019,CityLink Lime,146916
01/2019,CityLink Navy,194453
01/2019,CityLink Orange,231999
01/2019,CityLink Pink,177682
01/2019,CityLink Purple,155872
01/2019,CityLink Red,293054
01/2019,CityLink Silver,166372
01/2019,CityLink Yellow,172555
02/2019,21,41327
02/2019,22,176830
02/2019,26,112678
02/2019,28,83452
02/2019,29,87022
02/2019,30,104688
02/2019,31,80787
02/2019,33,29700
02/2019,34,19133
02/2019,36,42145
02/2019,37,57963
02/2019,38,1920
02/2019,51,34988
02/2019,52,6577
02/2019,53,95740
02/2019,54,156574
